日期,股票代码,名称,行业,成交金额（亿）,开盘价,T日收盘价,T-1日收盘价,T日涨跌幅,T+1日涨跌幅,T+2日涨跌幅,主力净流入（万）,主力占比（%）,换手率（%）
2026-03-24,000547.XSHE,航天发展,军工电子II,59.26,26.88,26.93,26.29,2.43,0.52,3.99,-13977.89,-2.36,14.2
2026-03-24,600930.XSHG,华电新能,电力II,47.03,6.95,7.19,6.93,3.75,3.2,-2.56,932.71,0.2,20.67
2026-03-24,688041.XSHG,海光信息,半导体II,46.2,210.69,213.27,207.04,3.01,1.94,0.6,23747.17,5.14,0.95
2026-03-24,601869.XSHG,长飞光纤,通信设备II,43.21,216.34,233.31,212.1,10.0,10.0,4.77,74357.76,17.21,4.8
2026-03-26,600666.XSHG,奥瑞德,光学光电子II,58.93,5.81,5.53,5.28,4.73,9.95,2.63,-53599.12,-9.1,42.9
2026-03-26,002460.XSHE,赣锋锂业,能源金属II,55.48,70.37,72.43,70.63,2.55,10.0,0.6,33079.37,5.96,6.35
2026-03-26,002709.XSHE,天赐材料,电池II,54.69,42.8,44.24,43.02,2.84,3.64,4.47,36380.68,6.65,8.09
2026-03-26,002149.XSHE,西部材料,稀有金属II,42.53,43.74,46.74,42.49,10.0,5.8,7.48,62774.82,14.76,19.4
2026-03-27,600519.XSHG,贵州茅台,白酒II,42.57,1400.0,1416.02,1401.18,1.06,0.28,2.11,34390.25,8.08,0.24
2026-03-27,002428.XSHE,云南锗业,稀有金属II,38.7,44.88,51.36,46.69,10.0,1.93,-6.57,42371.05,10.95,12.18
2026-03-30,600498.XSHG,烽火通信,通信设备II,51.43,44.99,48.8,45.98,6.13,3.44,-3.21,52643.15,10.24,8.47
2026-03-30,000592.XSHE,平潭发展,林业II,49.0,10.4,11.62,10.56,10.04,9.98,-5.95,178920.48,36.51,22.49
2026-03-30,600522.XSHG,中天科技,通信设备II,46.58,26.65,28.99,27.05,7.17,3.79,-3.09,47950.77,10.29,4.83
